iter	Passed	Remaining
0	1	1292
1	3	1691
2	5	1781
3	6	1535
4	8	1616
5	9	1507
6	10	1498
7	11	1422
8	12	1346
9	13	1298
10	14	1306
11	15	1280
12	16	1232
13	17	1222
14	18	1221
15	19	1189
16	20	1199
17	21	1195
18	23	1189
19	23	1167
20	24	1160
21	26	1179
22	27	1176
23	28	1162
24	29	1142
25	30	1133
26	31	1126
27	32	1142
28	34	1140
29	35	1156
30	36	1155
31	39	1197
32	41	1208
33	42	1193
34	43	1200
35	45	1206
36	46	1215
37	48	1224
38	50	1236
39	51	1231
40	52	1238
41	53	1226
42	54	1215
43	56	1222
44	62	1324
45	64	1334
46	65	1325
47	66	1315
48	67	1303
49	68	1301
50	69	1297
51	70	1289
52	71	1285
53	73	1284
54	74	1279
55	75	1277
56	76	1267
57	77	1264
58	79	1260
59	80	1265
60	81	1254
61	82	1246
62	83	1240
63	84	1230
64	85	1232
65	86	1224
66	87	1218
67	88	1212
68	89	1205
69	90	1205
70	92	1212
71	93	1206
72	95	1209
73	96	1202
74	97	1198
75	98	1193
76	99	1193
77	101	1195
78	102	1198
79	104	1206
80	106	1207
81	108	1219
82	110	1223
83	112	1231
84	114	1231
85	116	1233
86	118	1239
87	119	1235
88	121	1239
89	122	1239
90	124	1240
91	125	1235
92	126	1232
93	127	1229
94	129	1229
95	130	1225
96	130	1219
97	131	1212
98	133	1212
99	133	1204
100	135	1202
101	135	1195
102	136	1192
103	139	1198
104	140	1197
105	141	1190
106	142	1188
107	143	1186
108	144	1181
109	145	1176
110	146	1170
111	147	1167
112	148	1168
113	150	1165
114	151	1166
115	152	1165
116	154	1162
117	155	1164
118	157	1166
119	159	1167
120	160	1165
121	161	1159
122	162	1157
123	163	1155
124	164	1153
125	165	1150
126	167	1153
127	168	1149
128	169	1145
129	170	1139
130	171	1134
131	172	1131
132	172	1126
133	173	1124
134	178	1144
135	180	1149
136	182	1150
137	184	1150
138	185	1147
139	185	1142
140	186	1137
141	187	1134
142	188	1129
143	189	1127
144	191	1128
145	193	1130
146	194	1126
147	195	1126
148	197	1127
149	198	1124
150	200	1127
151	202	1129
152	203	1129
153	204	1124
154	206	1124
155	206	1119
156	208	1117
157	209	1118
158	211	1117
159	212	1116
160	214	1117
161	215	1116
162	217	1117
163	218	1113
164	220	1114
165	221	1111
166	222	1111
167	223	1106
168	224	1102
169	225	1101
170	226	1100
171	228	1101
172	230	1102
173	232	1102
174	232	1098
175	235	1100
176	236	1101
177	237	1097
178	239	1097
179	240	1096
180	242	1097
181	243	1093
182	244	1091
183	246	1092
184	246	1088
185	248	1086
186	250	1087
187	252	1088
188	253	1089
189	255	1090
190	257	1091
191	258	1087
192	259	1086
193	260	1082
194	262	1082
195	263	1082
196	266	1084
197	268	1085
198	269	1085
199	271	1086
200	272	1084
201	274	1085
202	283	1111
203	284	1111
204	286	1111
205	287	1108
206	288	1105
207	290	1104
208	291	1104
209	293	1104
210	295	1103
211	297	1104
212	297	1100
213	299	1099
214	300	1097
215	302	1097
216	304	1099
217	306	1098
218	307	1098
219	309	1097
220	311	1096
221	312	1096
222	314	1096
223	316	1097
224	318	1096
225	319	1093
226	321	1093
227	323	1095
228	324	1092
229	325	1090
230	327	1089
231	328	1086
232	329	1084
233	330	1082
234	331	1079
235	332	1076
236	333	1072
237	333	1069
238	335	1068
239	336	1066
240	338	1065
241	339	1063
242	343	1070
243	345	1068
244	346	1066
245	347	1065
246	350	1069
247	351	1067
248	353	1064
249	354	1062
250	355	1060
251	357	1059
252	358	1059
253	359	1057
254	360	1053
255	361	1050
256	362	1049
257	363	1046
258	364	1044
259	366	1044
260	368	1044
261	370	1043
262	372	1043
263	373	1042
264	375	1042
265	377	1040
266	378	1038
267	379	1036
268	380	1035
269	382	1034
270	383	1031
271	384	1028
272	386	1029
273	387	1026
274	389	1027
275	391	1025
276	392	1025
277	393	1023
278	396	1023
279	397	1022
280	399	1021
281	400	1020
282	402	1019
283	403	1016
284	405	1016
285	405	1013
286	407	1011
287	408	1009
288	408	1006
289	409	1003
290	410	1000
291	411	997
292	412	994
293	413	993
294	415	992
295	416	990
296	417	987
297	418	985
298	419	983
299	420	980
300	421	978
301	422	976
302	423	974
303	425	973
304	426	972
305	428	972
306	430	970
307	430	968
308	431	965
309	432	963
310	433	960
311	434	958
312	436	957
313	437	956
314	439	956
315	441	954
316	442	952
317	442	949
318	444	949
319	446	948
320	447	946
321	449	945
322	450	944
323	456	951
324	458	951
325	459	950
326	461	949
327	462	948
328	464	947
329	466	947
330	469	948
331	471	948
332	472	945
333	473	944
334	474	941
335	475	940
336	476	937
337	477	935
338	478	933
339	479	931
340	480	929
341	482	927
342	482	924
343	483	922
344	484	920
345	485	918
346	486	915
347	487	913
348	489	912
349	490	910
350	491	909
351	492	906
352	493	903
353	493	901
354	495	900
355	496	898
356	498	897
357	499	895
358	500	893
359	501	891
360	503	890
361	504	888
362	505	887
363	507	886
364	508	885
365	509	882
366	510	880
367	511	879
368	512	876
369	513	874
370	514	872
371	515	870
372	517	869
373	518	868
374	520	867
375	522	866
376	523	865
377	525	864
378	526	862
379	526	859
380	527	857
381	529	855
382	530	854
383	532	853
384	533	852
385	534	850
386	536	850
387	537	848
388	539	847
389	540	846
390	542	844
391	543	842
392	544	840
393	545	838
394	545	836
395	546	834
396	548	832
397	549	831
398	550	828
399	551	826
400	553	826
401	554	824
402	556	823
403	556	821
404	559	821
405	560	819
406	562	818
407	562	816
408	564	815
409	565	814
410	567	813
411	568	811
412	576	819
413	579	820
414	580	818
415	582	817
416	584	817
417	585	815
418	587	814
419	588	812
420	589	810
421	590	809
422	592	808
423	594	807
424	596	807
425	598	806
426	600	805
427	601	804
428	603	802
429	604	801
430	606	800
431	608	799
432	610	799
433	612	798
434	613	796
435	614	795
436	616	793
437	618	793
438	619	792
439	621	791
440	622	788
441	623	787
442	625	786
443	627	785
444	628	784
445	630	783
446	632	782
447	634	781
448	635	780
449	636	778
450	638	777
451	639	775
452	640	773
453	643	773
454	645	772
455	647	772
456	649	771
457	651	770
458	651	768
459	653	767
460	656	767
461	657	765
462	659	764
463	661	763
464	663	763
465	664	761
466	666	760
467	668	759
468	669	758
469	671	757
470	672	755
471	673	753
472	674	751
473	675	749
474	676	747
475	677	745
476	678	743
477	678	741
478	679	739
479	680	737
480	681	735
481	683	734
482	684	732
483	685	730
484	687	729
485	688	728
486	694	731
487	695	730
488	696	728
489	697	726
490	698	723
491	700	722
492	701	721
493	702	719
494	703	717
495	704	715
496	705	714
497	707	712
498	708	711
499	709	709
500	710	707
501	711	705
502	712	704
503	713	702
504	715	700
505	716	699
506	717	697
507	718	695
508	720	694
509	721	693
510	723	692
511	724	690
512	726	689
513	727	688
514	729	687
515	730	685
516	731	683
517	732	681
518	734	680
519	736	679
520	737	678
521	738	676
522	740	675
523	743	675
524	744	673
525	745	671
526	746	670
527	748	668
528	749	667
529	751	666
530	753	665
531	754	663
532	756	662
533	756	660
534	758	659
535	760	658
536	760	656
537	763	655
538	764	653
539	765	652
540	767	650
541	768	649
542	770	648
543	772	647
544	774	646
545	775	644
546	780	646
547	782	645
548	783	643
549	785	642
550	787	641
551	788	640
552	790	639
553	792	637
554	793	635
555	795	634
556	796	633
557	798	632
558	800	631
559	800	629
560	802	627
561	803	626
562	804	624
563	806	623
564	808	622
565	810	621
566	811	619
567	813	618
568	815	617
569	816	616
570	818	614
571	819	613
572	820	611
573	822	610
574	824	609
575	825	607
576	827	606
577	828	604
578	830	603
579	831	602
580	833	601
581	835	600
582	836	598
583	837	596
584	838	595
585	840	594
586	841	592
587	843	591
588	845	590
589	846	588
590	847	586
591	849	585
592	851	584
593	852	583
594	855	582
595	856	580
596	858	579
597	860	578
598	861	576
599	862	575
600	863	573
601	864	571
602	866	570
603	867	568
604	869	567
605	869	565
606	871	564
607	871	562
608	872	560
609	873	558
610	875	557
611	876	555
612	877	553
613	877	551
614	878	550
615	879	548
616	881	547
617	882	545
618	883	543
619	884	542
620	885	540
621	886	538
622	888	537
623	889	535
624	891	534
625	891	532
626	892	531
627	893	529
628	894	527
629	896	526
630	897	524
631	902	525
632	905	524
633	906	523
634	907	521
635	908	519
636	909	518
637	910	516
638	911	515
639	912	513
640	913	511
641	914	509
642	915	508
643	916	506
644	917	505
645	918	503
646	919	501
647	921	500
648	923	499
649	924	497
650	926	496
651	927	495
652	929	494
