shrimp,almonds,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
burgers,meatballs,,,,,,,,,,,,,,,,,
chutney,,,,,,,,,,,,,,,,,,
turkey,avocado,,,,,,,,,,,,,,,,,
mineral water,milk,whole wheat rice,green tea,,,,,,,,,,,,,,,
low fat yogurt,,,,,,,,,,,,,,,,,,
whole wheat pasta,french fries,,,,,,,,,,,,,,,,,
soup,light cream,,,,,,,,,,,,,,,,,
frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,
french fries,,,,,,,,,,,,,,,,,,
eggs,pet food,,,,,,,,,,,,,,,,,
cookies,,,,,,,,,,,,,,,,,,
turkey,burgers,eggs,cooking oil,,,,,,,,,,,,,,,
spaghetti,champagne,,,,,,,,,,,,,,,,,
mineral water,salmon,,,,,,,,,,,,,,,,,
mineral water,,,,,,,,,,,,,,,,,,
shrimp,chocolate,honey,oil,cooking oil,low fat yogurt,,,,,,,,,,,,,
turkey,eggs,,,,,,,,,,,,,,,,,
turkey,fresh tuna,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate,,,,,,,,,,
meatballs,milk,french fries,protein bar,,,,,,,,,,,,,,,
red wine,shrimp,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,
rice,sparkling water,,,,,,,,,,,,,,,,,
spaghetti,mineral water,body spray,pancakes,green tea,,,,,,,,,,,,,,
burgers,grated cheese,pasta,avocado,honey,white wine,toothpaste,,,,,,,,,,,,
eggs,,,,,,,,,,,,,,,,,,
parmesan cheese,spaghetti,avocado,milk,fresh bread,,,,,,,,,,,,,,
ground beef,spaghetti,milk,energy bar,black tea,salmon,frozen smoothie,escalope,,,,,,,,,,,
sparkling water,,,,,,,,,,,,,,,,,,
mineral water,eggs,chocolate,french fries,,,,,,,,,,,,,,,
frozen vegetables,spaghetti,mineral water,,,,,,,,,,,,,,,,
herb & pepper,tomato sauce,magazines,,,,,,,,,,,,,,,,
mineral water,chocolate,eggs,,,,,,,,,,,,,,,,
turkey,french fries,,,,,,,,,,,,,,,,,
frozen vegetables,strong cheese,,,,,,,,,,,,,,,,,
cookies,,,,,,,,,,,,,,,,,,
pickles,spaghetti,escalope,,,,,,,,,,,,,,,,
energy bar,french fries,,,,,,,,,,,,,,,,,
red wine,ground beef,,,,,,,,,,,,,,,,,
mineral water,cake,,,,,,,,,,,,,,,,,
pickles,champagne,,,,,,,,,,,,,,,,,
spaghetti,,,,,,,,,,,,,,,,,,
fresh tuna,frozen vegetables,mineral water,honey,whole wheat rice,frozen smoothie,escalope,,,,,,,,,,,,
spaghetti,,,,,,,,,,,,,,,,,,
soup,meatballs,sparkling water,,,,,,,,,,,,,,,,
escalope,,,,,,,,,,,,,,,,,,
soup,avocado,hot dogs,brownies,body spray,pancakes,green tea,,,,,,,,,,,,
mineral water,chicken,clothes accessories,,,,,,,,,,,,,,,,
mineral water,bug spray,,,,,,,,,,,,,,,,,
avocado,muffins,,,,,,,,,,,,,,,,,
burgers,black tea,,,,,,,,,,,,,,,,,
spaghetti,chocolate,white wine,green tea,,,,,,,,,,,,,,,
fresh tuna,mineral water,,,,,,,,,,,,,,,,,
spaghetti,muffins,,,,,,,,,,,,,,,,,
spaghetti,chocolate,,,,,,,,,,,,,,,,,
french fries,escalope,,,,,,,,,,,,,,,,,
